,t,L2ErrorStateExState,L2NormStateEx,L2NormState,Absu1exu1,Absu2exu2,Absu3exu3,Absu4exu4,Absu5exu5,Absu6exu6,Absu7exu7,Absu8exu8,Absu9exu9,Absu1,Absu2,Absu3,Absu4,Absu5,Absu6,Absu7,Absu8,Absu9,Absu1ex,Absu2ex,Absu3ex,Absu4ex,Absu5ex,Absu6ex,Absu7ex,Absu8ex,Absu9ex
0,0.01,0.011605226999673665,1.493645155514427,1.5019840606179091,0.8343571712065279,1.575934625917226,1.7336496963999304,1.7549728189196805,2.773369131043493,2.880696410203884,1.8643911187984983,2.9795617882818752,1.5772349619915027,0.03384694084525108,0.016159597784280777,0.025420179590582848,0.007543002720922232,0.009589320048689842,0.007993307895958424,0.008908181451261044,0.000980390002951026,0.012409870512783527,0.8682041120517789,1.5920942237015068,1.7082295168093475,1.7625158216406027,2.782958451092183,2.8727031023079257,1.8554829373472372,2.978581398278924,1.5648250914787192
1,0.02,0.021999389806629015,1.4903205099315104,1.5064327026555533,0.808010081037491,1.5375044923996657,1.610985977858252,1.7254934223378453,2.6834958679554384,2.5974040846573563,1.7199389132535154,2.688296950539415,1.3568915932845949,0.06761207804083824,0.031131640076637268,0.05375392362475395,0.01730732573196292,0.01680790400132537,0.012880011927336454,0.01898409053683281,0.0016402678447775543,0.02013407414779067,0.8756221590783292,1.568636132476303,1.557232054233498,1.7428007480698082,2.7003037719567637,2.58452407273002,1.7009548227166826,2.6866566826946374,1.3367575191368042
2,0.03,0.03140428315274133,1.487521577472606,1.5109386926210884,0.7863254872298208,1.5129520980334914,1.4981623145676872,1.7127987183315625,2.6180856616928363,2.341085297223065,1.5839147578628505,2.4216320067584998,1.1611439922097047,0.10413861647248268,0.04506082460284233,0.08076346479356289,0.024333585985004902,0.02361449785530567,0.01864299038425088,0.026775823906064034,0.0010703119914978743,0.02736792666837573,0.8904641037023034,1.5580129226363337,1.4173988497741243,1.7371323043165674,2.641700159548142,2.322442306838814,1.5571389339567865,2.420561694767002,1.133776065541329
3,0.04,0.03997099438073022,1.4851605024792722,1.5154843326617489,0.7685759493663241,1.4976941432841022,1.391051128307488,1.7117244489180503,2.5709376949433786,2.0976851851919465,1.4521931192557034,2.171154524553952,0.9833137366434377,0.1419357769191265,0.058376237750053406,0.10798846185207367,0.02933670813217759,0.0285855820402503,0.021815139334648848,0.033971581142395735,0.0015457496920134872,0.03377602808177471,0.9105117262854506,1.5560703810341556,1.2830626664554143,1.741061157050228,2.599523276983629,2.0758700458572976,1.4182215381133076,2.1696087748619384,0.949537708561663
4,0.05,0.04781613411487205,1.4831733449207574,1.5200608022725672,0.7550960330745998,1.4904127520732742,1.2863134359889516,1.7170779181633555,2.5356727783989115,1.8687368103535427,1.3226728044541933,1.928717987504061,0.8205996225933976,0.17993130907416344,0.07024222146719694,0.13477933034300804,0.03516309009864926,0.03311599278822541,0.02931256452575326,0.04124942375347018,0.0003488548973109573,0.039494901429861784,0.9350273421487633,1.5606549735404711,1.1515341056459436,1.7522410082620048,2.568788771187137,1.8394242458277894,1.2814233807007231,1.92836913260675,0.7811047211635358
5,0.060000000000000005,0.05503522360134926,1.4815072013588513,1.52466072732924,0.7431895483979581,1.4884004788765475,1.180671070294325,1.7278621603390085,2.5102539569861357,1.6465192333244338,1.1943706960263647,1.693769761796578,0.6733629383955898,0.22028205171227455,0.08179603982716799,0.1586290206760168,0.041110940743237734,0.035681574838235974,0.035267159808427095,0.04840344609692693,0.0012391569616738707,0.04569175932556391,0.9634716001102327,1.5701965187037155,1.0220420496183082,1.7689731010822463,2.5459355318243717,1.6112520735160067,1.1459672499294378,1.6950089187582518,0.6276711790700259
6,0.07,0.06172458948648825,1.4801148685912644,1.529285279417179,0.7321700920595144,1.4946949496411908,1.075344522530624,1.748295787545408,2.492114931561982,1.434886951669824,1.0679264675100006,1.4686126070549281,0.539448464587454,0.26325854659080505,0.08878643065690994,0.18032891675829887,0.04165412927977741,0.036169889906886965,0.043215537909418344,0.05559577839449048,0.001293637280468829,0.04991396423429251,0.9954286386503195,1.5834813802981007,0.8950156057723252,1.7899499168251853,2.528284821468869,1.3916714137604056,1.0123306891155102,1.469906244335397,0.4895345003531615
7,0.08,0.06796845436058055,1.478952795206451,1.5339304784165446,0.7241027469366996,1.5047364965544572,0.9728409544055816,1.7725766056051433,2.4774450975056235,1.2337150523891809,0.9448019803481661,1.2525653401586827,0.42206345545734125,0.30646664276719093,0.09480531373992562,0.2013780903071165,0.041553734517947305,0.03633035359962378,0.0516783450730145,0.06319603975862265,0.0019352297094883397,0.054806366097182035,1.0305693897038906,1.5995418102943828,0.7714628640984651,1.8141303401230906,2.5137754511052472,1.1820367073161664,0.8816059405895434,1.254500569868171,0.3672570893601592
8,0.09,0.07384283319852157,1.477980538234584,1.5385889440802223,0.7185888262532059,1.5144670443915402,0.8741951979299164,1.7998910259699565,2.462106355777071,1.0428076398947552,0.8236941350591878,1.0522631529553268,0.32047351033917326,0.3500417545437813,0.10312723135575652,0.22165119089186192,0.04077975732070627,0.03870862525945995,0.05883577512577176,0.06863541388884187,0.0017504989373264834,0.05931195802986622,1.0686305807969871,1.6175942757472968,0.6525440070380545,1.8406707832906628,2.5008149810365308,0.9839718647689835,0.7550587211703459,1.0505126540180003,0.26116155230930704
9,0.09999999999999999,0.0794230002810613,1.4771608395785991,1.543258026426038,0.7145009004702148,1.5285948247444034,0.7795430237634988,1.8289429330443432,2.447854806864689,0.8648729423676236,0.7079112753168,0.8659075077948678,0.2336333163831172,0.3948998227715492,0.10840430157259107,0.24021949246525764,0.039937889559951145,0.040325770401977934,0.06594324437901378,0.0740420795045793,0.006413570532458834,0.06252259318716824,1.109400723241764,1.6369991263169945,0.5393235312982412,1.8688808226042943,2.4881805772666667,0.7989296979886098,0.6338691958122207,0.859493937262409,0.17111072319594897
