,t,L2ErrorStateExState,L2NormStateEx,L2NormState,Absu1exu1,Absu2exu2,Absu3exu3,Absu4exu4,Absu5exu5,Absu6exu6,Absu7exu7,Absu8exu8,Absu9exu9,Absu1,Absu2,Absu3,Absu4,Absu5,Absu6,Absu7,Absu8,Absu9,Absu1ex,Absu2ex,Absu3ex,Absu4ex,Absu5ex,Absu6ex,Absu7ex,Absu8ex,Absu9ex
0,0.01,0.011589780602178634,1.493645155514427,1.5019994006277169,0.8830340708408295,1.585187252831757,1.703122541950557,1.7359454437692086,2.827221955537736,2.793217320817123,1.8596302178204993,2.990979430750462,1.588322825697555,0.014829958789050579,0.0069069708697497845,0.005106974858790636,0.026570377871394157,0.044263504445552826,0.07948578149080276,0.004147280473262072,0.01239803247153759,0.02349773421883583,0.8682041120517789,1.5920942237015068,1.7082295168093475,1.7625158216406027,2.782958451092183,2.8727031023079257,1.8554829373472372,2.978581398278924,1.5648250914787192
1,0.02,0.021994748770128737,1.4903205099315104,1.5065082538133119,0.9082962732981735,1.5571494811004132,1.5468466391823656,1.6930287257777903,2.8083545951684337,2.4390358031029256,1.708018422252878,2.707213220129096,1.3846318375725923,0.03267411421984434,0.011486651375889778,0.01038541505113244,0.04977202229201794,0.10805082321166992,0.14548826962709427,0.007063599536195397,0.020556537434458733,0.047874318435788155,0.8756221590783292,1.568636132476303,1.557232054233498,1.7428007480698082,2.7003037719567637,2.58452407273002,1.7009548227166826,2.6866566826946374,1.3367575191368042
2,0.03,0.03144513592004099,1.487521577472606,1.5111198431911335,0.9562072212955323,1.5349490124425924,1.400860511504086,1.6729763270972242,2.8040338491781736,2.1107622670753634,1.5621913423930998,2.450298890698377,1.214987198470058,0.06574311759322882,0.02306391019374132,0.016538338270038366,0.06415597721934319,0.16233368963003159,0.21168003976345062,0.0050524084363132715,0.029737195931375027,0.08121113292872906,0.8904641037023034,1.5580129226363337,1.4173988497741243,1.7371323043165674,2.641700159548142,2.322442306838814,1.5571389339567865,2.420561694767002,1.133776065541329
3,0.04,0.04010761840959039,1.4851605024792722,1.5158213163858782,1.015552145200901,1.5163380617312987,1.2605850913432801,1.6548361410076378,2.820081577597986,1.810991914408075,1.4176007936893669,2.2042628799440926,1.0678846436997693,0.10504041891545057,0.03973231930285692,0.022477575112134218,0.08622501604259014,0.220558300614357,0.26487813144922256,0.0006207444239407778,0.034654105082154274,0.11834693513810635,0.9105117262854506,1.5560703810341556,1.2830626664554143,1.741061157050228,2.599523276983629,2.0758700458572976,1.4182215381133076,2.1696087748619384,0.949537708561663
4,0.05,0.048094418188634615,1.4831733449207574,1.520589449604247,1.0948246892995064,1.5034687006138425,1.125392808806602,1.630744790936675,2.8267998626876576,1.522640907042618,1.3032780763319143,1.9694975933902614,0.9276586287069566,0.159797347150743,0.05718627292662859,0.02614129683934152,0.12149621732532978,0.2580110915005207,0.3167833387851715,0.021854695631191134,0.0411284607835114,0.1465539075434208,0.9350273421487633,1.5606549735404711,1.1515341056459436,1.7522410082620048,2.568788771187137,1.8394242458277894,1.2814233807007231,1.92836913260675,0.7811047211635358
5,0.060000000000000005,0.05549169757165716,1.4815072013588513,1.525400673222431,1.1942847746187448,1.504467186547236,0.9935396656504467,1.6173711457876372,2.804164214169733,1.242243107725735,1.1833267080909557,1.7603840032813634,0.7946206319023671,0.23081317450851202,0.06572933215647936,0.028502383967861533,0.15160195529460907,0.25822868234536145,0.36900896579027176,0.03735945816151798,0.06537508452311158,0.1669494528323412,0.9634716001102327,1.5701965187037155,1.0220420496183082,1.7689731010822463,2.5459355318243717,1.6112520735160067,1.1459672499294378,1.6950089187582518,0.6276711790700259
6,0.07,0.06241613060101105,1.4801148685912644,1.5302637256362956,1.291306206142745,1.502780231229328,0.8639011898082135,1.6147088339184623,2.791853098837773,0.9746706171145259,1.066875324931056,1.5836443476394553,0.6597704133672009,0.29587756749242544,0.08070114906877279,0.031114415964111686,0.17524108290672302,0.2635682773689041,0.41700079664587975,0.05454463581554592,0.11373810330405831,0.1702359130140394,0.9954286386503195,1.5834813802981007,0.8950156057723252,1.7899499168251853,2.528284821468869,1.3916714137604056,1.0123306891155102,1.469906244335397,0.4895345003531615
7,0.08,0.0689630324914572,1.478952795206451,1.535182295161206,1.4082548536911814,1.4997737351337006,0.7393448138333392,1.6054916310845946,2.789756105175983,0.7462218740476432,0.9518452337457352,1.399285393393868,0.5270404208046462,0.37768546398729086,0.0997680751606822,0.03211805026512593,0.20863870903849602,0.2759806540707359,0.4358148332685232,0.0702392931561917,0.144784823525697,0.15978333144448698,1.0305693897038906,1.5995418102943828,0.7714628640984651,1.8141303401230906,2.5137754511052472,1.1820367073161664,0.8816059405895434,1.254500569868171,0.3672570893601592
8,0.09,0.07519798058818253,1.477980538234584,1.540135447478431,1.518941726542205,1.4958011164635991,0.6199625688440255,1.5891852008495713,2.7741531926349876,0.5310724422724262,0.8421585366563449,1.237825261205778,0.41739802903986234,0.4503111457452178,0.1217931592836976,0.03258143819402903,0.25148558244109154,0.27333821159845684,0.45289942249655724,0.08709981548599899,0.18731260718777776,0.1562364767305553,1.0686305807969871,1.6175942757472968,0.6525440070380545,1.8406707832906628,2.5008149810365308,0.9839718647689835,0.7550587211703459,1.0505126540180003,0.26116155230930704
9,0.09999999999999999,0.08116507713608309,1.4771608395785991,1.5450956671110998,1.6288239463423666,1.4897180821541847,0.5069628301604368,1.59044031920075,2.726752371868406,0.3324464412089987,0.7377914518479509,1.0922812003764144,0.3171930020026652,0.5194232231006026,0.14728104416280985,0.032360701137804426,0.2784405034035444,0.23857179460173938,0.4664832567796111,0.10392225603573024,0.23278726311400533,0.1460822788067162,1.109400723241764,1.6369991263169945,0.5393235312982412,1.8688808226042943,2.4881805772666667,0.7989296979886098,0.6338691958122207,0.859493937262409,0.17111072319594897
