,t,L2ErrorStateExState,L2NormStateEx,L2NormState,Absu1exu1,Absu2exu2,Absu3exu3,Absu1,Absu2,Absu3,Absu1ex,Absu2ex,Absu3ex
0,0.01,0.10318541464032974,6.0715213075548355,6.121172885186404,18.162414225136708,0.4723829983739592,5.095772795943151,0.04725674167275429,0.015292161144316196,0.005740196444094181,18.115157483463953,0.4876751595182754,5.0900325994990565
1,0.02,0.19742768144221703,6.036554081040346,6.1317472715387105,16.68410906483712,0.4797593335751838,4.615820808688346,0.05810612998902798,0.02099407371133566,0.038383726961910725,16.626002934848092,0.45876525986384814,4.577437081726435
2,0.03,0.28425716556735686,6.011180666374033,6.148474275902087,15.41619117649488,0.492589380038075,4.227922281184674,0.06478813057765365,0.05443923082202673,0.07494562584906816,15.351403045917227,0.4381501492160483,4.152976655335606
3,0.04,0.3644065357758074,5.991983746340914,6.168332547760968,14.247874970002666,0.5106072156144723,3.8904680702290273,0.06037816731259227,0.08952767308801413,0.11029182095080614,14.187496802690074,0.42107954252645813,3.780176249278221
4,0.05,0.4383205420184098,5.977546357457586,6.190283886412706,13.137675281955138,0.50202237387769,3.600484370778954,0.04137773020192981,0.09610271593555808,0.1560712056234479,13.096297551753208,0.4059196579421319,3.444413165155506
5,0.060000000000000005,0.5063418979867848,5.967076613317263,6.213844299492945,12.080041384644513,0.4597109453969609,3.3280782592049705,0.017018874641507864,0.06787291867658496,0.18938373494893312,12.063022510003005,0.39183802672037593,3.1386945242560373
6,0.07,0.5688027722201133,5.960051104617799,6.238706267443298,11.073558995296999,0.4139212644210005,3.0776470146307853,0.00766886817291379,0.03562914906069636,0.21855315659195185,11.081227863469913,0.37829211536030416,2.8590938580388334
7,0.08,0.6260551831303699,5.95608432202779,6.264708510499244,10.124536203446205,0.3607279138282634,2.847581904811792,0.023913024459034204,0.0041292463429272175,0.244153899140656,10.148449227905239,0.36485716017119063,2.603428005671136
8,0.09,0.6783903484966138,5.954868574161524,6.29170830618276,9.221884168925175,0.30745491293173677,2.6390019717610884,0.04285259963944554,0.043699168134480715,0.26814377028495073,9.264736768564621,0.3511540810662175,2.3708582014761377
9,0.09999999999999999,0.7261080277893253,5.956140552493788,6.319601333407886,8.368649662472592,0.25229570428803005,2.450087873592459,0.06354363868013024,0.08452128665521741,0.2882792064920068,8.432193301152722,0.33681699094324746,2.1618086671004524
10,0.10999999999999999,0.7695520468373126,5.959659239034231,6.348323785277174,7.572202692833999,0.19619252131577902,2.2879826523917552,0.08266792679205537,0.12528798775747418,0.3100125389173627,7.654870619626054,0.3214805090732532,1.9779701134743926
11,0.11999999999999998,0.8090931098155828,5.9651891987405214,6.377825084503055,6.838018985763139,0.1385269985842062,2.1545588051474063,0.10071022855117917,0.16625154437497258,0.3322939919307828,6.938729214314318,0.3047785429591788,1.8222648132166237
12,0.12999999999999998,0.845121533981129,5.972486980731208,6.4080502917449955,6.170791802160262,0.07812241716690027,2.0493832793602276,0.12070748442783952,0.20822753058746457,0.3506822055205703,6.291499286588102,0.28634994775436484,1.6987010738396573
13,0.13999999999999999,0.8780812058713539,5.981290007568763,6.438954757561247,5.579743835008653,0.016366245014791114,1.9806057478277124,0.1426139702089131,0.2494816859252751,0.36852038372308016,5.722357805217566,0.2658479309400662,1.6120853641046322
14,0.15,0.9084831019090226,5.991308108663115,6.470511933406104,5.077671633242213,0.04789272725149041,1.9546515153436266,0.16372612351551652,0.2908435766585171,0.38705336209386587,5.2413977567577295,0.24295084940702671,1.5675981532497607
15,0.16,0.936874593004749,6.002218165591741,6.502687178708557,4.672652657386457,0.11509821475079829,1.9734237175240457,0.1862650071270764,0.3324708533473313,0.4031520737335086,4.858917664513533,0.217372638596533,1.570271643790537
16,0.17,0.9638496109298023,6.013662359178096,6.535448817086877,4.373937521313686,0.18440016353502345,2.043077289905332,0.2106607691384852,0.3732718084938824,0.4186481572687626,4.584598290452171,0.18887164495885897,1.6244291326365692
17,0.18000000000000002,0.990053633994406,6.025250336942031,6.568782386865524,4.193092397525383,0.25797751772323696,2.166451841701166,0.23356282385066152,0.41523462953045964,0.43329798243939877,4.426655221376045,0.15725711180722268,1.7331538592617672
18,0.19000000000000003,1.0161547791253607,6.0365653270129185,6.602676078407735,4.1360776058901845,0.33573572335252183,2.345336545862893,0.2549821571446955,0.4581286986358464,0.44748637825250626,4.39105976303488,0.12239297528332456,1.8978501676103867
19,0.20000000000000004,1.0428130077455964,6.047173876110446,6.637106157265504,4.2022109134998304,0.4148624300587601,2.5816201059216235,0.2786976997740567,0.4990613763220608,0.4636755343526602,4.480908613273887,0.08419894626330074,2.1179445715689633
20,0.21000000000000005,1.070679301844365,6.056638546439481,6.672051865345754,4.392206675550029,0.49638076607166914,2.8709434868871804,0.30379326874390244,0.5390298482961953,0.48019019328057766,4.6959999442939315,0.04264908222452611,2.3907532936066027
21,0.22000000000000006,1.1003753850567002,6.064532623660362,6.707492380541339,4.7023108212690845,0.5804034024286024,3.207942789845184,0.33033467503264546,0.5781716001220047,0.4964221566915512,5.03264549630173,0.002231802306597701,2.711520633153633
22,0.23000000000000007,1.1324964622784668,6.07045570638398,6.743424666231775,5.128187209382426,0.6671026373239509,3.589486279303155,0.35553314769640565,0.6167291742749512,0.5158733911812305,5.483720357078831,0.050373463048999735,3.0736128881219242
23,0.24000000000000007,1.16756436185857,6.074048989092514,6.779826784480608,5.655859314075925,0.7530128286686698,4.00802346152938,0.3830689643509686,0.6513459836132824,0.5391855239868164,6.038928278426893,0.10166684505538741,3.4688379375425638
