,t,L2ErrorStateExState,L2NormStateEx,L2NormState,Absu1exu1,Absu2exu2,Absu3exu3,Absu4exu4,Absu5exu5,Absu6exu6,Absu7exu7,Absu8exu8,Absu9exu9,Absu1,Absu2,Absu3,Absu4,Absu5,Absu6,Absu7,Absu8,Absu9,Absu1ex,Absu2ex,Absu3ex,Absu4ex,Absu5ex,Absu6ex,Absu7ex,Absu8ex,Absu9ex
0,0.01,0.011610134716171495,1.493645155514427,1.5019990154868563,0.8711652472883253,1.560140650474578,1.7160182136013242,1.7433353170354287,2.8098241643905038,2.864053457866023,1.8706839257367889,2.9791089043910453,1.5611218567614693,0.002961135236546397,0.03195357322692871,0.00778869679197669,0.019180504605174065,0.02686571329832077,0.008649644441902637,0.01520098838955164,0.0005275061121210456,0.0037032347172498703,0.8682041120517789,1.5920942237015068,1.7082295168093475,1.7625158216406027,2.782958451092183,2.8727031023079257,1.8554829373472372,2.978581398278924,1.5648250914787192
1,0.02,0.022019030454409835,1.4903205099315104,1.5064781640880889,0.8777795153773235,1.4928187411999434,1.5717105244323082,1.7214435335258398,2.7500071147968392,2.575275517557785,1.7181115521913464,2.687307809975072,1.3333223543303712,0.002157356298994273,0.07581739127635956,0.0144784701988101,0.02135721454396844,0.04970334284007549,0.009248555172234774,0.017156729474663734,0.0006511272804345936,0.003435164806433022,0.8756221590783292,1.568636132476303,1.557232054233498,1.7428007480698082,2.7003037719567637,2.58452407273002,1.7009548227166826,2.6866566826946374,1.3367575191368042
2,0.03,0.031449960467135094,1.487521577472606,1.5110298928939976,0.8938378883556802,1.4442839709735549,1.434223352737697,1.6980140865465572,2.717767590446689,2.3106622187698966,1.5771386215166892,2.421655660780288,1.1358657875069325,0.003373784653376788,0.11372895166277885,0.01682450296357274,0.03911821777001023,0.07606743089854717,0.011780088068917394,0.019999687559902668,0.0010939660132862628,0.0020897219656035304,0.8904641037023034,1.5580129226363337,1.4173988497741243,1.7371323043165674,2.641700159548142,2.322442306838814,1.5571389339567865,2.420561694767002,1.133776065541329
3,0.04,0.040040794276287275,1.4851605024792722,1.5156266601383763,0.9142492975563542,1.444193482705382,1.2962390475777352,1.6571312918948589,2.6889652907465202,2.055153866462203,1.4396903516444084,2.1706082366486434,0.9662611130837169,0.0037375712709035724,0.11187689832877368,0.01317638112232089,0.08392986515536904,0.08944201376289129,0.020716179395094514,0.02146881353110075,0.0009994617867050692,0.016723404522053897,0.9105117262854506,1.5560703810341556,1.2830626664554143,1.741061157050228,2.599523276983629,2.0758700458572976,1.4182215381133076,2.1696087748619384,0.949537708561663
4,0.05,0.04790750769179442,1.4831733449207574,1.5202576503887446,0.9409316640276789,1.4475725121321317,1.1603811271437297,1.6234873177472913,2.671402250086139,1.8089111583074136,1.304912798674629,1.9302746756815767,0.811668712563949,0.005904321878915653,0.11308246140833944,0.008847021497786045,0.12875369051471353,0.10261347889900208,0.030513087520375848,0.023489417973905802,0.00190554307482671,0.030563991400413215,0.9350273421487633,1.5606549735404711,1.1515341056459436,1.7522410082620048,2.568788771187137,1.8394242458277894,1.2814233807007231,1.92836913260675,0.7811047211635358
5,0.060000000000000005,0.055153368874461345,1.4815072013588513,1.52491962360368,0.9718838926575238,1.4552459504049062,1.025944621825461,1.5970034242262947,2.664739580571196,1.5688732369717762,1.1721308137602158,1.6989114255836495,0.6718028565513717,0.008412292547291145,0.11495056829880923,0.0039025722071528435,0.17196967685595155,0.11880404874682426,0.04237883654423058,0.026163563830778003,0.0039025068253977224,0.04413167748134583,0.9634716001102327,1.5701965187037155,1.0220420496183082,1.7689731010822463,2.5459355318243717,1.6112520735160067,1.1459672499294378,1.6950089187582518,0.6276711790700259
6,0.07,0.06186970221991437,1.4801148685912644,1.529606933885918,1.0060877606458785,1.4647836465633663,0.8954481001016138,1.5742977280733388,2.6630334405186566,1.3384372144655852,1.0411137522869416,1.476104071781555,0.5469518547832335,0.010659121995558962,0.11869773373473436,0.0004324943292886019,0.21565218875184655,0.13474861904978752,0.05323419929482043,0.028783063171431422,0.006197827446158044,0.05741735443007201,0.9954286386503195,1.5834813802981007,0.8950156057723252,1.7899499168251853,2.528284821468869,1.3916714137604056,1.0123306891155102,1.469906244335397,0.4895345003531615
7,0.08,0.06814126145121877,1.478952795206451,1.5343139988430639,1.0454826786676163,1.477746561937735,0.7678831742101815,1.554159300287727,2.6620332905987008,1.1187448929051074,0.913510405642774,1.2631575296597224,0.43855262816092777,0.01491328896372579,0.12179524835664779,0.0035796898882836103,0.2599710398353636,0.1482578394934535,0.06329181441105902,0.031904465053230524,0.008656959791551344,0.07129553880076855,1.0305693897038906,1.5995418102943828,0.7714628640984651,1.8141303401230906,2.5137754511052472,1.1820367073161664,0.8816059405895434,1.254500569868171,0.3672570893601592
8,0.09,0.07405154495851723,1.477980538234584,1.5390381769680526,1.0870361475747883,1.487948546193411,0.6469478901543743,1.5378409714754904,2.665865434542941,0.9100007941869364,0.7906300120489249,1.0612264653269607,0.34555362016918767,0.01840556677780114,0.12964572955388576,0.005596116883680224,0.30282981181517243,0.16505045350641012,0.0739710705820471,0.03557129087857902,0.01071381130896043,0.08439206785988063,1.0686305807969871,1.6175942757472968,0.6525440070380545,1.8406707832906628,2.5008149810365308,0.9839718647689835,0.7550587211703459,1.0505126540180003,0.26116155230930704
9,0.09999999999999999,0.07967760933460444,1.4771608395785991,1.543776055406782,1.1318716136405997,1.5023622793639229,0.5312575357708098,1.5214634545163768,2.6679176823009585,0.7181407882981552,0.6738015583146615,0.8727353661879483,0.26880027996876965,0.022470890398835763,0.13463684695307165,0.008065995527431369,0.34741736808791757,0.17973710503429174,0.0807889096904546,0.03993236250244081,0.013241428925539367,0.09768955677282065,1.109400723241764,1.6369991263169945,0.5393235312982412,1.8688808226042943,2.4881805772666667,0.7989296979886098,0.6338691958122207,0.859493937262409,0.17111072319594897
