,t,L2NormState,Absu1,Absu2,Absu3
0,0.01,5.399480821447435,0.022740719839930534,0.026819627732038498,0.035546690225601196
1,0.02,4.866924985657915,0.017031391616910696,0.05145092122256756,0.0786825567483902
2,0.03,4.464206509725687,0.009908877778798342,0.057782634627074,0.12032546103000641
3,0.04,4.1475235570442575,0.01826267084106803,0.08407831890508533,0.16202380135655403
4,0.05,3.89095910797292,0.024775706697255373,0.12679338781163096,0.18718335777521133
5,0.060000000000000005,3.6781963275245855,0.03243363322690129,0.17382068885490298,0.20234215632081032
6,0.07,3.4985972807587373,0.04241812927648425,0.12799046887084842,0.18502451106905937
7,0.08,3.3446614884075507,0.040763236465863883,0.08960267854854465,0.1530301533639431
8,0.09,3.2108475826384604,0.0518218771321699,0.13630137545987964,0.13899668864905834
9,0.09999999999999999,3.0934648190951903,0.005480700056068599,0.1548733222298324,0.14174949936568737
10,0.10999999999999999,2.9894074356019,0.054815669427625835,0.15052489610388875,0.13488278817385435
11,0.11999999999999998,2.896642244064603,0.00674550689291209,0.13688603742048144,0.13308261812198907
12,0.12999999999999998,2.813152449952998,0.05057466484140605,0.127235256601125,0.11104022071231157
13,0.13999999999999999,2.7377715512569565,0.0033256643218919635,0.11161392787471414,0.10619195981416851
14,0.15,2.6691301736937363,0.04881205491255969,0.10151287307962775,0.08805478608701378
15,0.16,2.6065430393731215,0.0008262404007837176,0.08772057248279452,0.08538375736679882
16,0.17,2.549008301142395,0.047544930945150554,0.07959718583151698,0.06952897587325424
17,0.18000000000000002,2.496145451711022,0.000828295131213963,0.06755724782124162,0.07341112068388611
18,0.19000000000000003,2.4472236508740175,0.03139100514817983,0.0829704157076776,0.036964523256756365
19,0.20000000000000004,2.4017468869402703,0.016643670271150768,0.09310577576979995,0.04644843249116093
20,0.21000000000000005,2.3595999876725804,0.016976933111436665,0.05658101802691817,0.04048207832966
21,0.22000000000000006,2.3201793817787193,0.031744164298288524,0.06585345463827252,0.04682847682852298
22,0.23000000000000007,2.2834499817528484,0.016285388846881688,0.05230618407949805,0.043724607792682946
23,0.24000000000000007,2.2489106958511638,0.03313468478154391,0.05978248734027147,0.045051773777231574
24,0.25000000000000006,2.2166046847682366,0.014889805694110692,0.046094147488474846,0.04254615376703441
25,0.26000000000000006,2.1860850199746267,0.034578614751808345,0.0533464252948761,0.043075452849734575
26,0.2700000000000001,2.1574454493063207,0.013834743876941502,0.04090927354991436,0.04186560463858768
27,0.2800000000000001,2.130276968392485,0.03557652689050883,0.04854872217401862,0.04145911257364787
28,0.2900000000000001,2.1047161541642416,0.012836842914111912,0.03606731863692403,0.04205905759590678
29,0.3000000000000001,2.080380834526225,0.036672458867542446,0.04301232285797596,0.041286966850748286
30,0.3100000000000001,2.057432587468799,0.011950406362302601,0.03141861688345671,0.042471540364203975
31,0.3200000000000001,2.0354657321485674,0.030688744853250682,0.05689647886902094,0.0367460117849987
32,0.3300000000000001,2.014721847508565,0.013871158589608967,0.03452002163976431,0.03304346275399439
33,0.34000000000000014,1.9948575365579102,0.0358137198491022,0.03977549681439996,0.034991072228876874
34,0.35000000000000014,1.9760193194167877,0.012580449809320271,0.04862340306863189,0.043919627292780206
35,0.36000000000000015,1.9579461425449565,0.037106730858795345,0.04414745653048158,0.04058043516124599
36,0.37000000000000016,1.940831690263448,0.009898602147586644,0.02712781960144639,0.041491881100228056
37,0.38000000000000017,1.9242859680825268,0.030624289880506694,0.053404313046485186,0.02855196697055362
38,0.3900000000000002,1.9086121202120583,0.01386412896681577,0.030596951488405466,0.02932986171799712
39,0.4000000000000002,1.893492794311243,0.035853718291036785,0.03482631593942642,0.03253110891091637
40,0.4100000000000002,1.879111036576746,0.0121376320021227,0.04137021163478494,0.04494110701489262
41,0.4200000000000002,1.8651730631171888,0.036075015435926616,0.04782937793061137,0.03337306549656205
42,0.4300000000000002,1.851930804423947,0.012959609855897725,0.04169158637523651,0.04098445430281572
43,0.4400000000000002,1.8390682317124243,0.03541474125813693,0.04838338913396001,0.030254021956352517
44,0.45000000000000023,1.8268477285459213,0.013127236743457615,0.04110307386144996,0.039776284917024896
45,0.46000000000000024,1.814951408470158,0.03534211672376841,0.048111480195075274,0.029696397221414372
46,0.47000000000000025,1.8036480256077918,0.012966956128366292,0.04037849837914109,0.04001311652245931
47,0.48000000000000026,1.7926202955655623,0.03551753319334239,0.047780276741832495,0.030293657182483003
48,0.49000000000000027,1.782143455533338,0.01256345130968839,0.039306297432631254,0.0410830152395647
49,0.5000000000000002,1.7718985206235875,0.03579550690483302,0.04751385981217027,0.03138523895177059
50,0.5100000000000002,1.762167398077036,0.012146766413934529,0.03838044451549649,0.04225352007779293
51,0.5200000000000002,1.7526312899425025,0.03619540564250201,0.0469277654774487,0.03276785250636749
52,0.5300000000000002,1.743575972451343,0.011673431028611958,0.03742331871762872,0.04364167220774107
53,0.5400000000000003,1.734700103487789,0.03779241524171084,0.04248351464048028,0.03839528767275624
54,0.5500000000000003,1.7262695813355082,0.010529442806728184,0.03460117941722274,0.04853760471451096
55,0.5600000000000003,1.7179434768873756,0.03342976875137538,0.053626439999789,0.034197895060060546
56,0.5700000000000003,1.710061187588955,0.01187729008961469,0.035227836575359106,0.0446267819206696
57,0.5800000000000003,1.702297330768014,0.03715159825515002,0.04283072054386139,0.0384328874933999
58,0.5900000000000003,1.6949331220011337,0.010927434195764363,0.033318761736154556,0.048328815697459504
